I	Y	X
701381	525.74	526
201262	525.86	702
178423	525.95	490
219883	525.96	706
419325	525.97	618
367712	526.02	550
645688	526.15	734
100103	526.24	606
817675	526.26	658
493631	526.33	666
397995	526.76	606
477085	526.88	714
177609	526.96	498
666040	526.97	582
413119	527.04	706
191959	527.14	566
947829	527.25	682
588723	527.26	546
40069	527.26	542
599582	527.36	570
256942	527.38	562
535417	527.39	534
655615	527.57	654
350992	527.59	654
243769	527.67	558
192322	527.74	698
241465	527.79	550
316336	527.85	594
382377	527.85	518
47331	527.92	550
884203	528.05	502
894082	528.19	570
135894	528.49	702
368088	528.56	482
986777	528.56	710
535862	528.66	550
862151	529.04	606
16075	529.19	702
457402	529.2	446
694591	529.27	610
873058	529.32	654
218634	529.42	578
324984	529.6	658
753869	529.7	654
438253	529.7	702
114629	529.75	574
731914	529.88	570
860187	529.9	542
236100	529.99	694
744173	530.07	586
176274	530.12	594
336436	530.21	554
989800	530.37	574
292211	530.48	806
727644	530.52	458
554522	530.56	602
594825	530.61	610
909866	530.61	666
155447	530.66	622
155624	530.73	730
13944	531.06	626
490031	531.11	526
28805	531.12	586
567801	531.14	594
927204	531.27	582
146625	531.32	722
298006	531.35	558
625291	531.47	642
28472	531.54	854
851498	531.6	562
941960	531.63	658
957422	531.67	482
217209	531.8	526
155679	532.03	514
584290	532.03	742
933206	532.22	590
973387	532.26	538
643959	532.33	502
690235	532.42	522
878844	532.44	662
427880	532.48	466
387408	532.48	630
998645	532.52	686
586137	532.55	586
686165	532.56	614
966209	532.62	626
988105	532.77	510
159289	532.78	726
890679	532.85	478
112556	532.96	650
50548	532.98	666
197041	533.04	610
718466	533.09	614
832493	533.1	626
394880	533.11	610
415653	533.15	542
95106	533.3	806
388599	533.41	598
370371	533.43	454
674617	533.48	594
839921	533.56	674
414343	533.62	562
892668	533.77	618
374125	533.88	594
693056	533.94	546
5909	534	506
838376	534.09	566
133374	534.19	782
974034	534.2	486
749308	534.22	742
825208	534.27	586
734088	534.35	690
498253	534.37	650
747684	534.4	570
834165	534.6	498
640241	534.62	634
702812	534.73	578
715273	534.86	594
372838	534.89	526
417306	534.89	546
878687	535.28	626
388566	535.33	678
929353	535.33	646
20801	535.53	582
365124	535.65	570
477407	535.68	666
417246	535.69	686
99947	535.88	678
33944	535.91	626
760213	536.03	610
4819	536.05	618
944354	536.24	678
272941	536.26	610
484892	536.47	606
912143	536.58	646
877017	536.63	654
973113	536.64	654
602537	536.68	578
619779	536.73	670
951012	536.83	698
887187	536.98	746
546787	537.02	698
29804	537.09	578
517909	537.09	534
172586	537.27	726
424637	537.33	666
999236	537.36	558
792079	537.51	510
637015	537.54	634
943218	537.58	590
866265	537.63	518
377381	537.66	542
443374	537.81	726
554972	537.85	642
472954	537.97	498
867655	537.98	578
447326	538.32	582
726553	538.34	666
415246	538.39	566
600815	538.41	522
536092	538.83	770
302154	538.99	650
34250	539.02	774
765211	539.5	518
51939	539.74	574
88048	539.88	626
289603	539.9	506
751753	539.93	646
241829	539.94	534
32013	539.99	602
678847	540.03	630
686671	540.05	650
114858	540.19	810
477096	540.34	506
514208	540.55	438
78784	540.59	758
807614	540.62	498
659646	540.62	626
23352	540.95	586
901689	540.97	498
881624	540.98	606
277483	541.01	626
317530	541.2	590
39534	541.22	570
416842	541.43	706
127719	541.48	662
248046	541.59	634
224515	542.03	638
738281	542.38	606
347869	542.44	678
852876	542.62	498
82308	542.72	534
598387	542.87	630
769765	543.15	690
160873	543.17	618
202011	543.46	642
380786	543.5	610
163510	543.98	654
752390	544.07	674
82347	544.46	610
73163	544.61	566
378041	544.72	502
321690	545.05	686
325178	545.69	578
196846	545.92	562
120318	546.11	478
487134	546.14	622
907969	546.29	634
416778	546.71	530
523271	546.77	730
150274	546.84	634
483697	546.96	554
344254	547.59	654
474691	547.83	630
535769	548.03	442
261034	548.28	538
943160	548.47	618
756786	548.7	634
533318	548.76	654
953026	548.95	570
18277	549.02	570
754169	549.15	662
853992	549.34	562
776801	549.36	662
164025	549.38	458
343706	549.49	586
650830	549.6	694
87541	549.64	594
43308	550.01	626
715845	550.11	734
782375	550.41	518
812103	550.43	666
386590	550.53	562
378201	550.94	586
507348	551.02	614
880502	551.53	546
398524	551.91	682
477763	552.16	522
920232	552.18	622
126336	552.3	746
137193	552.94	694
105741	553.45	818
554489	553.56	598
675170	553.67	594
983230	553.69	618
467644	553.75	670
60551	554.12	570
268578	554.18	614
880438	554.78	574
319364	555.39	474
116513	555.48	598
744520	556.05	846
90304	556.26	578
180478	556.55	678
816597	556.93	630
769830	557.47	570
186770	557.76	650
852050	558.5	594
146570	558.58	634
971067	559.07	754
72421	559.67	510
686838	560.1	578
420989	561.29	586
680223	562.24	678
68669	563.91	570
14669	564.85	674
100127	567.33	666
681116	569.41	746
671550	569.68	614
878319	569.77	718
733941	570.99	746
21991	572.27	590
130358	573.69	602
112973	573.75	634
97826	574.8	654
939405	590.83	554
